,pairs,p_values
307,"('AFTY', 'IEUS')",0.03874651590345299
308,"('AFTY', 'IHI')",0.03346471093212705
309,"('AFTY', 'IMOM')",0.03001787008628687
310,"('AFTY', 'IPAC')",0.03638423444991952
311,"('AFTY', 'ISCF')",0.04323286013856859
312,"('AFTY', 'IXP')",0.04560976125816866
313,"('AFTY', 'IYE')",0.0484285579420203
314,"('AFTY', 'IYZ')",0.048075428583342204
315,"('AFTY', 'JDST')",0.041116783232651395
316,"('AFTY', 'JPXN')",0.02667233473341876
317,"('AFTY', 'KLDW')",0.03774611928073146
318,"('AFTY', 'NANR')",0.04757684372607696
319,"('AFTY', 'PBE')",0.03675252911702801
320,"('AFTY', 'PTH')",0.04636353592991605
321,"('AFTY', 'QEFA')",0.037051632344880146
322,"('AFTY', 'RODM')",0.04633735647351854
323,"('AFTY', 'SCJ')",0.03271072980529283
324,"('AFTY', 'SCZ')",0.032790770414492076
325,"('AFTY', 'TLTD')",0.0465408631119882
326,"('AFTY', 'TUR')",0.0334389894905616
327,"('AFTY', 'VOX')",0.045388418264729884
328,"('AFTY', 'VPL')",0.0498979818617064
329,"('AFTY', 'XHE')",0.045454130536745324
330,"('AFTY', 'XLE')",0.048558231061514155
331,"('AIA', 'CXSE')",0.04334433717171042
332,"('AIA', 'EWH')",0.0155954372914303
333,"('AIA', 'FPA')",0.012343827697436518
334,"('AIA', 'GLCN')",0.023022022208610275
335,"('AIA', 'HEWU')",0.040423274001828574
336,"('AIA', 'NGE')",0.02708627257015607
337,"('AIA', 'PAK')",0.014867234785803889
338,"('AIA', 'SIL')",0.031809243848923495
339,"('AIA', 'VIDI')",0.03962865277682064
340,"('AIA', 'XPH')",0.011278732699866663
341,"('AIRR', 'BFOR')",0.005229346561878664
342,"('AIRR', 'CSA')",0.03297939880465025
343,"('AIRR', 'DEM')",0.02085966534917001
344,"('AIRR', 'EES')",0.02922598739072949
345,"('AIRR', 'FBZ')",0.030171386160529896
346,"('AIRR', 'FTDS')",0.008275238756412399
